YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2012,-0.8596666666666666,-0.17466666666666608,-1.9069999999999991,-0.13620689655172846,-0.3272413793103457,0.14166666666666927,0.6793333333333305,0.45965517241379317,0.598275862068963,-0.20833333333333215,0.3653333333333322,0.2646666666666668
2013,0.5003333333333337,0.995333333333333,0.08300000000000018,0.9337931034482718,0.9627586206896535,-0.46833333333333194,0.5493333333333315,-0.31034482758620996,1.5482758620689623,0.6216666666666679,0.39533333333333154,-0.6353333333333326
2014,-0.36966666666666637,-1.1846666666666659,-0.10699999999999932,0.12379310344827132,1.4127586206896545,0.7116666666666678,0.569333333333331,0.9696551724137912,1.0682758620689619,1.1016666666666683,-0.29466666666666796,0.5446666666666671
2015,1.6003333333333325,2.155333333333333,2.1030000000000015,1.1237931034482713,1.0127586206896542,1.1116666666666681,0.8393333333333306,1.559655172413791,-0.2917241379310376,1.4216666666666669,0.38533333333333175,0.5946666666666678
2016,0.2903333333333338,0.745333333333333,0.9930000000000003,,,0.8716666666666679,0.49933333333333074,,-0.3417241379310365,-0.33833333333333293,1.1853333333333307,0.14466666666666672
2017,0.11033333333333317,-0.6746666666666661,-1.0469999999999997,-0.07620689655172797,-0.01724137931034697,0.6716666666666686,0.34933333333333216,0.9996551724137923,,0.11166666666666814,-0.19466666666666832,0.08466666666666711
2018,0.24033333333333307,-0.31466666666666665,0.18299999999999983,-0.12620689655172868,1.4927586206896546,0.34166666666666856,0.12933333333333152,0.7296551724137927,0.2782758620689627,1.201666666666668,0.5553333333333317,0.6346666666666669
2019,0.7103333333333337,-0.2746666666666666,1.2030000000000012,1.253793103448272,2.0927586206896542,0.9216666666666686,1.9293333333333305,1.6696551724137905,1.1782758620689648,-0.168333333333333,0.705333333333332,0.08466666666666711
2020,0.0303333333333331,-0.39466666666666583,0.43299999999999983,0.9937931034482723,1.0927586206896542,0.6916666666666682,0.6093333333333302,0.8596551724137917,1.3982758620689637,1.5216666666666683,0.06533333333333147,0.2846666666666673
2021,0.5203333333333333,-0.10466666666666669,0.42300000000000004,1.263793103448272,1.0527586206896533,1.5616666666666692,1.309333333333333,0.679655172413792,-0.021724137931036225,-0.44833333333333236,0.04533333333333189,-0.20533333333333292
2022,-0.30966666666666676,0.7553333333333345,0.47300000000000075,0.02379310344827168,,0.9116666666666688,1.059333333333333,,,,,
2023,,0.3953333333333333,-0.04699999999999882,-0.6462068965517282,1.3927586206896532,-0.2483333333333313,,,,,,
